cursive_script_name,num
Jo_eogjo,58
Jo_ileul,79
Jo_muli,30
Jo_sae,69
Jung_gaunde,172
Ju_bulgeul,31
Ju_sul,154
Jwa_oen,153
Lo_gil,130
Lye_jong,37
Lyun_inlyun,54
Mae_maeyang,46
Mak_eobseul,37
Mal_kkeut,44
Mang_adeukhal,23
Mang_heomanghal,19
Man_gubeul,12
Man_kkeul,19
Ma_mal,75
Mil_bbaekbbaekhal,56
Min_baekseong,82
Min_dapdaphal,16
Mi_anil,127
Mi_jageul,75
Mi_mihokal,33
Mok_namu,70
Mong_kkum,44
Mo_amu,12
Mo_chang,12
Mo_eomi,67
Mo_moyang,24
Mul_mal,55
Mun_deuleul,131
Mun_geurwol,116
Mun_muleul,131
Mun_mun,77
Mu_eobseul,377
Myeol_kkeojil,62
Myeong_balgeul,128
Myeong_ireum,100
Myeon_myeonhal,22
Myo_sadang,61
Nae_ie,105
Nam_namnyeok,65
Nan_eoryeoul,178
Neung_neunghal,152
Nyeom_saenggak,63
Nyeon_hae,167
Ong_hwahal,41
O_geuleuchil,26
O_kkamagwi,21
O_seongssi,81
Paeng_seongssi,15
Pae_jogae,20
Pal_yeodeolb,128
Pib_mojalal,33
Pib_pibbaghal,54
Pil_bus,118
Pi_gajug,39
Pyeon_chiuchil,48
Pye_haejil,21
Rae_ol,95
Rak_ddeoreojil,63
Rang_sarangchae,43
Rap_mil,10
Rim_imhal,62
Rim_supul,58
Rin_iut,40
Rip_seol,78
Ri_daseuril,18
Ri_ddeonal,70
Ri_maeul,17
Ri_parihal,11
Ri_sok,70
Rok_pureul,46
Rok_saseum,39
Ron_nonhal,67
Ro_ilhal,41
Ro_neulgeul,124
Ro_nodunhal,20
Ryang_du,70
Ryang_eojil,40
Ryeok_him,56
Ryeon_itdaeul,56
Ryeon_yeonieul,35
Ryeo_saenggakhal,54
Ryo_aeoraji,33
Ryu_jugil,28
Ryu_meomureul,85
Ryu_muri,52
Sak_choharu,33
Sam_seok,102
